"","Date","COUNTY","Site.Name","LAT","LONG","Month","Year","Ozone","PM2.5"
"85",2018-01-08,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,44
"86",2018-01-08,"Haywood","Frying Pan Mountain",35.379167,-82.7925,1,2018,NA,3
"87",2018-01-08,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,38
"88",2018-01-08,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,16,53
"89",2018-01-08,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,NA,11
"90",2018-01-08,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,NA,31
"91",2018-01-08,"Swain","Bryson City",35.434767,-83.442133,1,2018,NA,71
"92",2018-01-08,"Wake","Millbrook School",35.856111,-78.574167,1,2018,27,42.5
"93",2018-01-09,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,NA,49
"94",2018-01-09,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,NA,19
"95",2018-01-09,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,60
"96",2018-01-09,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,54
"97",2018-01-09,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,43
"98",2018-01-09,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,43
"99",2018-01-09,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,28,53
"100",2018-01-09,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,NA,20
"101",2018-01-09,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,NA,31
"102",2018-01-09,"Swain","Bryson City",35.434767,-83.442133,1,2018,NA,78
"103",2018-01-09,"Wake","Millbrook School",35.856111,-78.574167,1,2018,30,35
"104",2018-01-10,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,NA,39
"105",2018-01-10,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,NA,35
"106",2018-01-10,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,39
"107",2018-01-10,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,32
"108",2018-01-10,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,29
"109",2018-01-10,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,35
"110",2018-01-10,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,31,38
"111",2018-01-10,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,NA,14
"112",2018-01-10,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,NA,37
"113",2018-01-10,"Swain","Bryson City",35.434767,-83.442133,1,2018,NA,56
"114",2018-01-10,"Wake","Millbrook School",35.856111,-78.574167,1,2018,33,22
"115",2018-01-11,"Avery","Linville Falls",35.972347,-81.933072,1,2018,NA,3
"116",2018-01-11,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,NA,43.5
"117",2018-01-11,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,NA,34
"118",2018-01-11,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,59
"119",2018-01-11,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,48.5
"120",2018-01-11,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,55
"121",2018-01-11,"Haywood","Frying Pan Mountain",35.379167,-82.7925,1,2018,NA,0
"122",2018-01-11,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,41
"123",2018-01-11,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,26,35
